外径,壁厚,材质,等级,长度,炉批号,物料号
219,13,1,0,12000,111-111,vvvvvvv
219,13,1,0,12000,111-112,vvvvvvv
219,13,1,0,12000,111-113,vvvvvvv
219,13,1,0,12000,111-114,vvvvvvv
219,13,1,0,12000,111-115,vvvvvvv
219,13,1,0,12000,111-116,vvvvvvv
219,13,1,0,12000,111-117,vvvvvvv
219,13,1,0,12000,111-118,vvvvvvv
219,13,1,0,12000,111-119,vvvvvvv
219,13,1,0,12000,111-120,vvvvvvv
219,13,1,0,12000,111-121,vvvvvvv
219,13,1,0,12000,111-122,vvvvvvv
219,13,1,0,12000,111-123,vvvvvvv
219,13,1,0,12000,111-124,vvvvvvv
219,13,1,0,12000,111-125,vvvvvvv
219,13,1,0,12000,111-126,vvvvvvv
219,13,1,0,12000,111-127,vvvvvvv
219,13,1,0,12000,111-128,vvvvvvv
219,13,1,0,12000,111-129,vvvvvvv
219,13,1,0,12000,111-130,vvvvvvv
219,13,1,0,12000,111-131,vvvvvvv
